               epoch,      train/box_loss,      train/cls_loss,      train/dfl_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/cls_loss,        val/dfl_loss,               x/lr0,               x/lr1,               x/lr2
                   0,              2.4742,              3.9717,              2.7513,              0.5067,             0.16854,             0.10445,            0.039659,                   0,                   0,                   0,            0.070086,           0.0033237,           0.0033237
                   1,              2.1914,              3.0347,              2.4021,             0.42467,               0.314,             0.21719,            0.092533,                   0,                   0,                   0,            0.040043,           0.0066131,           0.0066131
                   2,              2.1828,              2.9451,              2.4011,             0.15529,              0.2821,             0.15377,             0.06588,                   0,                   0,                   0,           0.0099546,           0.0098585,           0.0098585
                   3,              2.2388,               3.016,              2.4475,             0.30289,             0.26028,             0.20451,            0.078549,                   0,                   0,                   0,            0.009802,            0.009802,            0.009802
                   4,              2.2309,              2.9328,              2.4618,             0.22462,             0.27325,             0.21955,            0.093229,                   0,                   0,                   0,            0.009802,            0.009802,            0.009802
                   5,              2.2148,              2.8278,              2.4598,             0.39594,             0.20186,             0.23668,             0.11137,                   0,                   0,                   0,            0.009736,            0.009736,            0.009736
                   6,              2.1747,              2.6453,              2.4492,             0.66116,             0.17326,             0.21202,            0.090181,                   0,                   0,                   0,             0.00967,             0.00967,             0.00967
                   7,              2.1473,              2.5199,              2.4146,             0.37692,             0.27573,             0.26625,             0.12531,                   0,                   0,                   0,            0.009604,            0.009604,            0.009604
                   8,              2.1399,               2.452,              2.3913,             0.38839,             0.16468,              0.2279,             0.11361,                   0,                   0,                   0,            0.009538,            0.009538,            0.009538
                   9,              2.0906,              2.3446,              2.3942,             0.24897,             0.28478,             0.22915,             0.11467,                   0,                   0,                   0,            0.009472,            0.009472,            0.009472
                  10,              2.0981,              2.2921,              2.3977,             0.28629,             0.24337,              0.2424,             0.12066,                   0,                   0,                   0,            0.009406,            0.009406,            0.009406
                  11,              2.0482,              2.1045,              2.3549,             0.40422,             0.19438,             0.18382,             0.08725,                   0,                   0,                   0,             0.00934,             0.00934,             0.00934
                  12,              2.0481,              2.0625,              2.3333,             0.31119,             0.23262,              0.2343,             0.12912,                   0,                   0,                   0,            0.009274,            0.009274,            0.009274
                  13,              2.0337,              2.0282,              2.3652,             0.34212,              0.2766,             0.27752,             0.14107,                   0,                   0,                   0,            0.009208,            0.009208,            0.009208
                  14,              2.0053,              1.9298,              2.3157,             0.24309,             0.32672,              0.2316,             0.11213,                   0,                   0,                   0,            0.009142,            0.009142,            0.009142
                  15,              2.0157,              1.8926,              2.3421,             0.29223,             0.29864,             0.26127,             0.11805,                   0,                   0,                   0,            0.009076,            0.009076,            0.009076
                  16,              1.9812,              1.8328,              2.3197,             0.26263,             0.26581,             0.23427,             0.10501,                   0,                   0,                   0,             0.00901,             0.00901,             0.00901
                  17,              1.9574,              1.8119,              2.3242,              0.3887,             0.23851,             0.27285,             0.14164,                   0,                   0,                   0,            0.008944,            0.008944,            0.008944
                  18,              1.9298,              1.7278,              2.2821,             0.29878,             0.32337,              0.2772,              0.1317,                   0,                   0,                   0,            0.008878,            0.008878,            0.008878
